Zip,median_income,mean_income
95573,35607,35646
95585,26518,37153
95587,114542,133354
95589,43295,82283
95595,35750,48058
95601,43036,68780
95602,63721,83246
95603,56049,78796
95605,38255,51485
95607,69702,69250
95608,55256,81277
95610,50536,62707
95612,53194,71398
95614,90903,98969
95615,59028,79903
95616,45332,76392
95618,81471,112862
95619,60660,64346
95620,66291,79720
95621,51827,61841
95623,55878,72305
95624,80233,94794
95625,75163,50774
95626,60579,68310
95627,57664,64666
95628,72739,93067
95629,42545,45642
95630,100308,110975
95631,63901,77031
95632,61255,74427
95633,70938,81960
95634,59844,66020
95635,46827,68176
95636,56250,63900
95637,75750,67890
95638,91518,106728
95639,75556,66468
95640,56696,70196
95641,38750,54519
95642,43981,60342
95645,42576,54789
95646,39375,35513
95648,70820,83591
95650,84133,112719
95651,65114,81260
95652,46667,50319
95653,55000,69562
95655,87738,89226
95658,63604,83969
95659,54444,90952
95660,41615,48392
95661,72459,91868
95662,65122,82188
95663,124375,146975
95664,79327,91213
95665,48940,75185
95666,53281,65622
95667,55710,76129
95668,65938,86097
95669,64479,82627
95670,55656,73433
95672,92464,116655
95673,50854,62473
95674,74583,99457
95675,48285,43305
95677,69583,83766
95678,62969,78136
95679,14073,42685
95681,44464,60115
95682,77416,97841
95683,100139,124427
95684,52292,81430
95685,60648,84945
95686,31438,42913
95687,73684,86715
95688,81860,98645
95689,56875,73583
95690,56101,84725
95691,65769,76510
95692,62043,66398
95693,79121,91182
95694,58517,78496
95695,52274,72518
95697,75714,71977
95698,45769,53419
95699,77188,77396
95701,52841,70005
95703,69750,87307
95709,70417,92484
95713,60720,71911
95714,54327,73270
95715,32361,40162
95717,39167,50779
95720,56667,60061
95722,76389,95436
95726,55996,71409
95728,38690,74239
95735,34063,34691
95736,43355,54003
95742,104167,110615
95746,118919,156131
95747,92678,103146
95757,87782,103522
95758,70003,85452
95762,117700,141009
95765,87100,104568
95776,63750,80082
95811,37672,56461
95814,33373,53078
95815,29721,41896
95816,53002,74529
95817,34845,51261
95818,58272,102313
95819,87156,107599
95820,40730,58746
95821,38777,57022
95822,44392,59578
95823,36731,48898
95824,28447,38606
95825,37382,50785
95826,53648,63180
95827,50528,62249
95828,45439,58074
95829,74530,86326
95830,56250,91065
95831,68679,86788
95832,42228,52495
95833,55827,66934
95834,56651,66965
95835,80449,90479
95837,110236,114488
95838,39481,47801
95841,38464,49941
95842,44542,53989
95843,64773,77545
95864,83467,119937
95901,42319,53895
95903,33173,45602
95910,37663,27542
95912,50764,63128
95914,25200,39224
95915,10481,9471
95916,38636,44950
95917,44500,64524
95918,77583,82852
95919,45871,45101
95920,71063,68726
95922,24722,39534
95926,37296,57868
95928,45906,66866
95932,46453,64550
95934,31892,42989
95935,37461,46109
95936,53214,56287
95937,56394,70359
95938,60750,78977
95939,29063,39416
95941,63529,57562
95942,41888,62589
95943,51908,91472
95945,42778,59847
95946,62180,79460
